,id,user,text,created_at,location,sentiment,sentiment_compound
0,1486119379758628867,RickNossi,nigga said eli apple got point,2022-01-25 23:30:45+00:00,Straight From The Gutter ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
1,1486119377661431811,rodisreezNI,like droppin tuesday episode fiery chicken shrimp come laugh get real ni apple,2022-01-25 23:30:45+00:00,"Las Vegas, NV","{'neg': 0.13, 'neu': 0.541, 'pos': 0.33, 'compound': 0.5719}",0.5719
2,1486119377510535173,topologic_apple,plenty onco indication pdl drug plenty combo,2022-01-25 23:30:45+00:00, ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
3,1486119376369733632,RichNChrist57,today podcast join u discus new number one best seller great reset,2022-01-25 23:30:44+00:00,"Big D's close enough, Texas 🤠","{'neg': 0.0, 'neu': 0.372, 'pos': 0.628, 'compound': 0.8957}",0.8957
4,1486119374289178624,AellaH1storical,also write anything apple gift card show recent video,2022-01-25 23:30:44+00:00,,"{'neg': 0.0, 'neu': 0.734, 'pos': 0.266, 'compound': 0.4404}",0.4404
5,1486119370338283520,Runedscope1,climate everything mean apple cider climate peterson afraid,2022-01-25 23:30:43+00:00,all going to die,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
6,1486119368715128839,prd_libertarian,government requiring apple let fix iphone preventing doctor prescribing covid treating antibody,2022-01-25 23:30:42+00:00,"Georgia, USA","{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.0258}",-0.0258
7,1486119366143791104,hattajr,even use new computer bought apple give permission,2022-01-25 23:30:42+00:00,"Seoul, Republic of Korea","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
8,1486119363405127683,Jackylina2929,please read photo use link help u fight back watch video downl,2022-01-25 23:30:41+00:00,"Texarkana, AR","{'neg': 0.167, 'neu': 0.513, 'pos': 0.321, 'compound': 0.34}",0.34
9,1486119362104905740,loveheqrts,adele discography oh ok,2022-01-25 23:30:41+00:00,,"{'neg': 0.0, 'neu': 0.577, 'pos': 0.423, 'compound': 0.296}",0.296
10,1486119362033594371,Couch_Investor,expect weak apple print,2022-01-25 23:30:41+00:00,Couch,"{'neg': 0.492, 'neu': 0.508, 'pos': 0.0, 'compound': -0.4404}",-0.4404
11,1486119360888512517,NDIRISH771,dork not exactly intimidating presence one besides bring bottle apple cider thing got heated,2022-01-25 23:30:41+00:00,,"{'neg': 0.143, 'neu': 0.714, 'pos': 0.143, 'compound': 0.0015}",0.0015
12,1486119360146063362,LYZA_gh,good music,2022-01-25 23:30:40+00:00,ROAD TO HASTAFARI,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404
13,1486119359772778504,Alain_Patron,run back,2022-01-25 23:30:40+00:00,"Queens, NY","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
14,1486119353569488897,steidley62,logic day still dragging eli apple completely understand hate u,2022-01-25 23:30:39+00:00,"Taintville, West Dakota","{'neg': 0.332, 'neu': 0.668, 'pos': 0.0, 'compound': -0.6096}",-0.6096
15,1486119353099640834,SugarMu70871330,dm cash app apple pay paypal,2022-01-25 23:30:39+00:00,,"{'neg': 0.219, 'neu': 0.781, 'pos': 0.0, 'compound': -0.1027}",-0.1027
16,1486119352764190720,runmaria,not every day world famous actress give shout podcast thanks guest natalia,2022-01-25 23:30:39+00:00,,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.4404}",0.4404
17,1486119350700437510,avanderhees,breaking monsanto morgan visa pfizer humana apple google salesforce amazon higher ho,2022-01-25 23:30:38+00:00,LA,"{'neg': 0.0, 'neu': 0.866, 'pos': 0.134, 'compound': 0.1779}",0.1779
18,1486119350604111879,HHE_Radio,newmusicalert yoshi different life via hheradio np applemusic app,2022-01-25 23:30:38+00:00,Worldwide,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.34}",0.34
19,1486119350017073153,gprai86,bullish dba fund dafribank account creditcard visa mastercard apple pay american expre,2022-01-25 23:30:38+00:00,Singapore,"{'neg': 0.113, 'neu': 0.887, 'pos': 0.0, 'compound': -0.1027}",-0.1027
20,1486119348179775493,niceupradio,dj sticky live inside mix right nice radio app available app,2022-01-25 23:30:38+00:00,United States,"{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.4215}",0.4215
21,1486119347416408073,JamesBallyBall,next leg incoming full platform release jan st unique use,2022-01-25 23:30:37+00:00,Manchester,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
22,1486119343201009666,Katheri21385318,check voted favorite sport olympicgames tug war,2022-01-25 23:30:36+00:00,,"{'neg': 0.328, 'neu': 0.42, 'pos': 0.252, 'compound': -0.2263}",-0.2263
23,1486119342358028289,imnotandii,apple map tell part freeway closed annoyed,2022-01-25 23:30:36+00:00,,"{'neg': 0.295, 'neu': 0.568, 'pos': 0.136, 'compound': -0.34}",-0.34
24,1486119340671963147,dinahizer,oh hell no,2022-01-25 23:30:36+00:00,jersey,"{'neg': 0.872, 'neu': 0.128, 'pos': 0.0, 'compound': -0.7783}",-0.7783
25,1486119338411270148,Feet_Farther,micaela hazlewood share journey discus thrower check discus thrower code mic,2022-01-25 23:30:35+00:00,https://www.facebook.com/FeetFarther/,"{'neg': 0.0, 'neu': 0.82, 'pos': 0.18, 'compound': 0.296}",0.296
26,1486119336783892483,j__sand,remember first dropped still aol dial nd grade,2022-01-25 23:30:35+00:00,"LAFAYETTE, LA ✈️ NYC","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
27,1486119335487844361,FilbertaFlores,stats love story kyuhyun itunes song update indonesia philippine total,2022-01-25 23:30:34+00:00,"Cuauhtenco,Tlaxcala","{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.6369}",0.6369
28,1486119333701242881,haifaaairdinaa,today udon went apple store orchard road,2022-01-25 23:30:34+00:00,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
29,1486119332241416196,OrendaBooks,chilling disturbing scarily possible thriller offtarget ebook,2022-01-25 23:30:34+00:00,"London, UK","{'neg': 0.449, 'neu': 0.408, 'pos': 0.143, 'compound': -0.4588}",-0.4588
30,1486119330223824896,jjendeukk_,phone technology apple iphone promax samsung galaxy ultra,2022-01-25 23:30:33+00:00,United States,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
31,1486119329167032327,BenPhillips2000,please read photo use link help u fight back watch video downl,2022-01-25 23:30:33+00:00,United States,"{'neg': 0.167, 'neu': 0.513, 'pos': 0.321, 'compound': 0.34}",0.34
32,1486119326646255619,VR_Revolution,mixed reality headset apple reportedly way feature borrow apple ecosystem,2022-01-25 23:30:32+00:00,"Perth, Scotland","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
33,1486119326428000265,KanyeAsadaTorta,eli apple idk fan base hate saint giant saint fan,2022-01-25 23:30:32+00:00,"Phoenix, AZ","{'neg': 0.325, 'neu': 0.382, 'pos': 0.293, 'compound': -0.128}",-0.128
34,1486119315690729475,V65_biker,poor unfortunate non apple fan event,2022-01-25 23:30:30+00:00,,"{'neg': 0.535, 'neu': 0.263, 'pos': 0.202, 'compound': -0.5859}",-0.5859
35,1486119307771797513,TunesMz,thank send reminder appleevent october reply stop opt,2022-01-25 23:30:28+00:00,"Washington, DC","{'neg': 0.206, 'neu': 0.561, 'pos': 0.234, 'compound': 0.0772}",0.0772
36,1486119307520413700,Moo2513E2,official celebrate bybit million follower milestone today dive prize pool worth stand walk awa,2022-01-25 23:30:28+00:00,,"{'neg': 0.0, 'neu': 0.553, 'pos': 0.447, 'compound': 0.836}",0.836
37,1486119305569779716,MonaArbie,think putin invade ukraine west worried nbc news,2022-01-25 23:30:27+00:00,"Baltimore, MD","{'neg': 0.239, 'neu': 0.761, 'pos': 0.0, 'compound': -0.296}",-0.296
38,1486119305154605058,Destiny23970012,funny never tasted lime anyways lime green apple wanna try sam,2022-01-25 23:30:27+00:00,in my editing zone,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4404}",0.4404
39,1486119305049636865,LDCMLPD,really liked episode reason not showing show laptop,2022-01-25 23:30:27+00:00,"Los Angeles, CA","{'neg': 0.0, 'neu': 0.694, 'pos': 0.306, 'compound': 0.4754}",0.4754
40,1486119302843490304,KaraLynne0326,second used apple health app year hysterectomy always point,2022-01-25 23:30:27+00:00,"North Carolina, USA","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
41,1486119302117740548,rasbeiu,youtube premium famplan bulan bulan indplan bulan langsung jual youtube premium netf,2022-01-25 23:30:27+00:00,TWEETBOT ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
42,1486119301073362947,Soyandygamez,santo song day listen,2022-01-25 23:30:26+00:00,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
43,1486119298737319939,ErinAlMehairi,excited share writing bought short story aphrodite beauty beare,2022-01-25 23:30:26+00:00,"Ohio, USA","{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.8126}",0.8126
44,1486119292844322822,aImanzars,bring back real music,2022-01-25 23:30:24+00:00,SHE/HER • BLACK • 19,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
